6745,6748,6760
6707,6723,6700
5421,5463,5504
5297,5255,5338
3382,3334,3287
3332,3376,3429
3284,3237,3331
3335,3431,3384
3290,3335,3384
3429,3526,3477
3526,3572,3477
3572,3526,3624
3526,3568,3624
3814,3718,3758
3718,3667,3624
5484,5566,5489
4395,4407,4487
5077,5163,5121
5163,5077,5118
5333,5379,5295
5163,5207,5121
5257,5207,5295
5853,5816,5911
5945,5853,5911
5853,5945,5888
5452,5368,5411
645,713,677
544,574,510
608,642,676
574,642,608
642,712,676
712,642,677
748,784,818
784,748,715
782,748,818
748,782,713
715,680,749
680,714,749
714,680,646
819,784,749
784,819,858
856,817,889
54,79,62
36,46,20
20,46,27
46,54,27
46,36,71
115,135,93
75,115,93
94,111,71
60,94,71
26,48,35
30,48,26
23,7,5
23,30,7
1849,1806,1760
1553,1513,1595
1675,1717,1760
1761,1717,1677
1470,1553,1512
1553,1470,1513
1636,1596,1677
1717,1636,1677
1636,1717,1675
1636,1675,1595
1513,1555,1595
1555,1636,1595
1636,1555,1596
1677,1637,1719
1596,1637,1677
674,742,707
710,742,674
1266,1225,1306
1185,1225,1146
1225,1184,1146
1184,1225,1266
186,169,215
476,446,510
446,476,413
640,570,608
570,640,601
536,570,601
570,536,505
265,215,245
378,320,351
667,634,707
2797,2753,2843
2987,2940,2893
2846,2940,2892
2940,2846,2893
2990,2944,2896
2944,2848,2896
2848,2944,2895
2945,2990,2896
2990,2945,3039
2430,2365,2432
2524,2571,2617
2430,2524,2466
2194,2069,2150
3661,3756,3707
3942,3853,3896
3853,3814,3758
3990,3942,3896
4126,4077,4036
4077,4126,4187
1714,1710,1797
1714,1627,1710
2707,2753,2797
3117,3068,3163
3023,3117,3067
3117,3023,3068
2741,2834,2787
3030,2981,3074
3068,3118,3163
3167,3121,3072
1494,1450,1409
1450,1494,1535
2008,2098,2051
2008,1917,1963
2100,2189,2144
2031,1944,1990
1944,2031,1988
1348,1431,1388
1348,1266,1306
1349,1389,1306
1389,1348,1306
1348,1389,1431
1048,971,1010
789,822,751
822,789,861
839,923,866
896,935,942
1012,935,975
935,1012,942
1091,1137,1202
1204,1137,1125
896,899,826
899,896,942
899,861,826
899,934,861
1047,1089,1125
427,488,456
258,285,233
82,80,56
80,82,116
209,185,233
335,280,302
335,363,308
280,335,308
1072,1114,1155
1034,1114,1072
684,617,650
617,684,652
425,396,456
1501,1487,1438
1458,1501,1438
1566,1501,1592
1501,1566,1487
1137,1245,1202
1245,1137,1204
1250,1297,1338
1315,1250,1338
1245,1250,1315
1250,1245,1204
1454,1498,1524
1799,1755,1741
1755,1668,1741
1539,1584,1624
1584,1539,1524
1415,1458,1407
1415,1491,1499
1458,1415,1499
2016,1970,1925
1667,1575,1624
1575,1539,1624
1491,1575,1499
1539,1575,1491
1501,1543,1592
1543,1458,1499
1543,1501,1458
1612,1575,1667
1575,1612,1499
1612,1543,1499
2018,1972,1929
1840,1750,1796
1927,1883,1972
1972,1883,1929
1883,1840,1929
1883,1927,1836
1879,1789,1836
1789,1745,1836
1745,1789,1702
1655,1745,1702
1617,1655,1702
1655,1566,1592
1655,1617,1566
1661,1617,1702
2238,2328,2282
2104,2058,2015
1623,1708,1665
1579,1623,1665
1621,1664,1580
1664,1623,1580
1623,1664,1708
1926,1838,1880
1970,1926,1880
1969,1926,2015
1926,1970,2015
1882,1926,1969
1838,1882,1795
1926,1882,1838
2103,2014,2058
1875,1917,1831
1917,1875,1963
1450,1492,1408
1449,1492,1534
1492,1449,1408
1492,1450,1535
1448,1487,1533
1493,1448,1533
1448,1493,1410
1448,1403,1487
973,899,942
934,973,1010
899,973,934
1167,1128,1207
1450,1367,1409
1367,1450,1408
929,856,889
1080,1040,1005
1080,1118,1040
858,890,818
930,890,858
1697,1613,1656
1826,1782,1870
14,19,38
59,32,37
59,95,78
67,59,37
95,59,67
112,81,78
25,45,19
190,144,167
144,190,173
482,514,546
362,336,392
336,281,309
242,272,298
242,190,219
272,242,219
303,334,359
278,334,303
95,131,112
131,173,151
112,131,151
131,144,173
131,95,104
144,131,104
80,120,104
120,80,116
120,144,104
144,120,167
167,120,157
120,116,157
1583,1541,1626
1541,1583,1497
1457,1497,1414
1457,1541,1497
1377,1457,1414
1457,1377,1422
1540,1456,1497
1540,1583,1625
1583,1540,1497
1129,1051,1090
1009,963,1046
2071,2038,2002
2404,2342,2298
1671,1628,1715
1712,1756,1801
1756,1712,1670
1017,982,941
963,982,1046
897,898,825
824,897,825
897,824,860
685,689,643
635,685,643
511,520,457
453,511,457
286,282,238
171,225,198
2806,2759,2852
2759,2806,2713
2666,2759,2713
3274,3347,3323
3347,3274,3264
3229,3274,3323
3274,3229,3179
3179,3160,3085
3160,3077,3085
3229,3160,3179
3088,3179,3085
1687,1594,1640
2498,2589,2544
1017,1054,1094
1092,1054,1014
1545,1588,1640
1588,1545,1506
1252,1291,1210
1333,1291,1252
1740,1694,1784
1461,1417,1376
1694,1648,1604
1740,1648,1694
1503,1550,1459
1503,1461,1547
1417,1503,1459
1503,1417,1461
1601,1503,1547
1503,1601,1550
1891,1847,1805
1847,1761,1805
2024,1981,1936
1981,1891,1936
2024,1982,2072
1982,2024,1936
2213,2165,2121
1763,1805,1719
2435,2391,2480
2391,2435,2343
2405,2495,2452
2495,2405,2449
2670,2719,2623
2572,2670,2623
2575,2528,2623
2528,2572,2623
2528,2435,2480
2572,2528,2480
1857,1814,1768
1816,1905,1861
2036,1994,1947
1994,2039,1949
2639,2689,2592
2637,2733,2687
2589,2637,2544
2827,2778,2873
2827,2733,2778
2921,2969,3015
2969,2921,2875
3194,3241,3146
3062,2969,3016
2969,3062,3015
3248,3296,3203
4715,4625,4698
4540,4625,4626
4625,4715,4626
4843,4758,4764
4758,4843,4848
4168,4166,4256
4166,4168,4091
3958,3919,3865
3868,3919,3974
3919,4018,3974
4018,3919,3958
4093,4180,4140
4090,4136,4046
4136,4093,4046
4093,4136,4180
4397,4302,4395
4253,4302,4212
5494,5452,5411
5494,5535,5452
5576,5618,5660
5535,5618,5576
6125,6189,6155
5986,5927,5996
5954,5918,5882
5918,5954,5989
6028,6063,5996
6063,6028,6092
6060,6028,5989
6028,6060,6092
6164,6232,6206
6188,6232,6164
6232,6261,6206
6232,6242,6289
6232,6188,6242
6179,6145,6206
5639,5597,5676
6112,6077,6048
6024,5956,5952
6017,6024,5952
6024,6017,6065
6089,6024,6065
5767,5741,5814
6145,6117,6164
6085,6117,6145
6130,6117,6072
6117,6130,6164
6117,6036,6072
6036,6117,6085
6004,6085,6051
6004,6036,6085
6036,6004,5959
5405,5363,5322
