3627,3663,3698
3630,3663,3592
3332,3341,3284
3341,3332,3380
3336,3340,3378
3340,3336,3285
3794,3812,3748
3736,3772,3702
4097,4063,4028
4063,4097,4116
4097,4141,4116
3997,3962,4028
4063,3997,4028
3812,3861,3878
3861,3812,3794
3725,3794,3748
3481,3445,3409
3205,3234,3271
4220,4239,4256
3755,3720,3684
3720,3755,3789
3539,3579,3612
3563,3529,3600
4299,4267,4284
4299,4329,4313
4267,4249,4231
4315,4299,4284
4299,4315,4329
4438,4427,4454
4427,4441,4454
4441,4427,4419
4414,4427,4438
4390,4414,4402
4520,4508,4531
4459,4465,4490
4483,4496,4468
4459,4483,4468
4483,4459,4490
4511,4483,4490
4483,4511,4496
4548,4532,4529
4532,4518,4529
4518,4511,4529
4511,4518,4496
4598,4601,4607
4477,4462,4452
4462,4477,4492
4605,4600,4608
4600,4605,4595
4605,4608,4610
4602,4605,4610
4595,4605,4602
4585,4597,4589
4585,4592,4597
4592,4585,4575
4578,4585,4589
4575,4585,4569
4585,4578,4569
1383,1344,1419
1309,1344,1383
1344,1309,1274
1344,1382,1419
1307,1344,1274
1344,1307,1382
1677,1714,1754
1677,1641,1601
1714,1790,1754
1833,1870,1909
1762,1801,1837
800,833,767
833,800,866
1416,1341,1379
1416,1491,1456
1491,1416,1454
1641,1565,1601
1565,1526,1601
1566,1529,1604
1526,1564,1601
2512,2567,2573
2567,2512,2492
2502,2493,2441
2470,2502,2441
2414,2374,2337
2569,2574,2624
2061,1984,2023
1984,1946,2023
1946,1908,1986
1908,1832,1871
1832,1908,1869
1908,1946,1869
2179,2102,2141
2218,2179,2141
2179,2218,2255
2102,2179,2139
2108,2146,2187
2146,2105,2182
2219,2260,2182
2260,2219,2297
2503,2456,2437
2456,2396,2437
2396,2456,2394
2394,2351,2312
2351,2267,2312
2304,2351,2382
2351,2304,2267
1457,1382,1417
1382,1457,1419
1457,1494,1419
1494,1457,1532
1463,1500,1538
1392,1430,1354
1430,1392,1468
1461,1498,1422
1461,1385,1421
1385,1461,1422
1500,1576,1538
1768,1728,1804
1728,1689,1650
1651,1689,1729
1689,1768,1729
1768,1689,1728
2265,2341,2303
2421,2341,2380
2341,2381,2303
2341,2421,2381
2340,2378,2301
2340,2304,2382
2496,2570,2537
2570,2496,2535
2226,2265,2188
2149,2226,2188
2108,2148,2069
2148,2108,2187
2070,2110,2032
2110,2070,2147
696,666,729
761,696,729
696,761,728
695,665,728
665,695,633
633,695,664
994,1027,958
790,857,822
857,790,823
890,857,823
858,890,823
925,994,958
890,925,958
